city,AQI,PM2.5,PM10,CO,NO2,SO2,O3,lng,lat,timestamp,空气质量,省份,所属省份空气质量排名
鞍山,102,76,99,1.0,38,34,59,123.0077633,41.11874368,2023-02-28,轻度污染,辽宁省,27
安康,76,32,102,0.4,14,8,101,109.0380446,32.70437045,2023-02-28,良好,陕西省,22
安庆,69,50,61,0.7,26,8,81,117.0587388,30.53789782,2023-02-28,良好,安徽省,10
安阳,77,56,66,0.5,24,19,80,114.3518065,36.11026672,2023-02-28,良好,河南省,19
巴彦淖尔,51,35,51,0.7,15,10,79,107.4238067,40.7691799,2023-02-28,良好,内蒙古自治区,26
白山,127,78,204,0.7,17,8,78,126.4357977,41.9458594,2023-02-28,轻度污染,吉林省,23
百色,85,63,106,0.9,23,8,92,106.6318214,23.90151237,2023-02-28,良好,广西壮族自治区,14
蚌埠,63,45,0,0.6,27,8,79,117.3570799,32.92949891,2023-02-28,良好,安徽省,10
包头,113,85,117,0.9,35,11,61,109.8462385,40.64711943,2023-02-28,轻度污染,内蒙古自治区,26
保定,98,73,101,0.9,29,12,68,115.4948102,38.88656455,2023-02-28,良好,河北省,25
保山,60,40,70,1.0,20,10,62,99.17799561,25.1204892,2023-02-28,良好,云南省,6
宝鸡,107,80,0,0.8,22,3,39,107.1706455,34.36408081,2023-02-28,轻度污染,陕西省,22
北京,185,139,190,1.0,74,6,39,116.395645,39.92998578,2023-02-28,中度污染,北京,30
毕节,68,49,54,0.9,23,5,81,105.3333234,27.40856213,2023-02-28,良好,贵州省,7
昌都,62,44,73,0.9,24,15,79,96.36244047,30.5109248,2023-02-28,良好,西藏区,28
常德,67,48,69,0.3,34,10,91,111.6537181,29.01214886,2023-02-28,良好,湖南省,17
常州,42,29,35,0.5,19,7,80,119.981861,31.77139674,2023-02-28,优级,江苏省,11
长春,72,52,81,0.8,14,10,112,125.3136424,43.89833761,2023-02-28,良好,吉林省,23
长沙,59,38,68,0.4,30,19,58,112.9793528,28.21347823,2023-02-28,良好,湖南省,17
长治,155,118,153,0.7,40,4,38,113.1202921,36.20166439,2023-02-28,中度污染,山西省,29
朝阳,141,70,232,0.7,27,15,99,116.5216949,39.95895317,2023-02-28,轻度污染,辽宁省,27
潮州,100,75,79,0.9,12,12,101,116.630076,23.66181168,2023-02-28,良好,广东省,9
郴州,89,66,84,0.8,29,13,84,113.0377045,25.78226398,2023-02-28,良好,湖南省,17
成都,99,74,113,0.8,54,18,11,104.0679235,30.67994285,2023-02-28,良好,四川省,13
成都,68,49,63,0.6,29,5,40,104.0679235,30.67994285,2023-02-28,良好,四川省,13
承德,93,56,136,0.8,23,16,90,117.9338225,40.99252105,2023-02-28,良好,河北省,25
赤峰,145,111,204,1.0,38,27,82,118.9307612,42.29711232,2023-02-28,轻度污染,内蒙古自治区,26
崇左,75,55,67,1.2,27,18,54,107.357322,22.4154553,2023-02-28,良好,广西壮族自治区,14
滁州,89,66,102,0.8,21,6,87,118.3245704,32.3173506,2023-02-28,良好,安徽省,10
大连,77,56,77,0.8,14,19,81,121.5934778,38.94870994,2023-02-28,良好,辽宁省,27
大庆,62,44,72,0.8,20,8,88,125.0218397,46.59670902,2023-02-28,良好,黑龙江,18
大同,193,145,214,1.7,62,26,23,124.6990774,46.070051,2023-02-28,中度污染,山西省,29
丹东,62,44,72,1.0,34,14,77,124.3385431,40.12902283,2023-02-28,良好,辽宁省,27
德州,107,80,118,1.0,36,18,80,116.3281614,37.46082593,2023-02-28,轻度污染,山东省,21
东营,82,60,110,0.7,32,12,83,118.6126431,37.40866629,2023-02-28,良好,山东省,21
鄂尔多斯,95,70,140,1.2,23,19,78,109.9937063,39.81648956,2023-02-28,良好,内蒙古自治区,26
鄂州,84,62,84,1.2,33,12,68,114.895594,30.38443932,2023-02-28,良好,湖北省,15
