日期,天气,最低气温,最高气温,风向1,风向2,风级
13,多云转阵雨,15,24,无持续风向,北风,3
14,阵雨转多云,12,20,北风,北风,4
15,多云,13,19,无持续风向,无持续风向,3
16,多云,14,18,无持续风向,无持续风向,3
17,多云,16,21,无持续风向,无持续风向,3
18,晴转多云,18,22,无持续风向,东风,3
19,阴转多云,18,22,北风,北风,3
20,晴,16,23,东风,东北风,4
21,晴转多云,16,20,东风,东风,4
22,多云转阴,17,21,东风,东风,4
23,多云,18,22,东南风,东风,3
24,多云,18,22,东风,北风,3
25,晴转多云,18,24,北风,东北风,3
26,多云,16,23,东风,东风,4
日期,天气,最低气温,最高气温,风向1,风向2,风级
15,多云,12,19,无持续风向,东北风,3
16,多云,13,19,无持续风向,东风,3
17,多云,14,21,无持续风向,无持续风向,3
18,多云转阵雨,16,23,无持续风向,无持续风向,3
19,阵雨,17,23,无持续风向,无持续风向,3
20,多云,16,23,无持续风向,无持续风向,3
21,多云转晴,14,19,无持续风向,东风,3
22,晴,14,18,东风,东北风,3
23,晴,15,21,东南风,北风,3
24,阴转多云,16,22,北风,东风,3
25,晴转阴,16,21,东南风,东风,4
26,阴,17,21,东南风,东南风,4
27,阴,17,22,东南风,东风,3
28,阴,19,22,东南风,东风,3
日期,天气,最低气温,最高气温,风向1,风向2,风级
15,阴,6,10,无持续风向,无持续风向,3
16,阴转多云,6,11,无持续风向,无持续风向,3
17,阴,7,11,无持续风向,无持续风向,3
18,阴,8,17,无持续风向,无持续风向,3
19,阴转小雨,9,16,无持续风向,无持续风向,3
20,小雨,7,12,无持续风向,无持续风向,3
21,小雨转雨,4,11,无持续风向,北风,3
22,雨转阴,3,9,西南风,北风,3
23,多云转晴,3,14,西风,北风,3
24,阴,5,15,东风,北风,3
25,阴,9,17,东南风,东北风,3
26,多云转阴,10,19,南风,西南风,3
27,多云转阴,10,20,南风,东南风,3
28,阴,13,20,东风,东北风,3
日期,天气,最低气温,最高气温,风向1,风向2,风级
1,晴转阴,9,18,无持续风向,无持续风向,3
2,阴转多云,8,14,无持续风向,无持续风向,3
3,阴,10,19,无持续风向,无持续风向,3
4,阴,11,19,无持续风向,无持续风向,3
5,阴转小雨,13,20,无持续风向,无持续风向,3
6,小雨转中雨,12,19,无持续风向,无持续风向,3
7,阴转雨,11,18,东南风,南风,3
8,雨转晴,11,21,东南风,北风,3
9,多云转阴,13,22,西南风,西北风,3
10,阴转晴,12,25,南风,东北风,3
11,晴,13,24,南风,北风,3
12,阴,14,26,东北风,东北风,4
13,阴,11,23,东风,北风,3
14,晴,12,23,南风,北风,3
