city,lng,lat
阿坝,102.2285647,31.90576286
安康,109.0380446,32.70437045
阿克苏,80.26984618,41.1717309
阿里地区,81.10766869,30.40455659
阿拉善盟,105.6956829,38.84307526
阿勒泰,88.13791549,47.83974449
安庆,117.0587388,30.53789782
安顺,105.92827,26.22859458
鞍山,123.0077633,41.11874368
安阳,114.3518065,36.11026672
蚌埠,117.3570799,32.92949891
白城,122.8407767,45.62108628
北海,109.1226279,21.47271824
宝鸡,107.1706455,34.36408081
北京,116.395645,39.92998578
毕节,105.3333234,27.40856213
博州,104.7497619,27.67098054
白山,126.4357977,41.9458594
百色,106.6318214,23.90151237
保山,99.17799561,25.1204892
包头,109.8462385,40.64711943
本溪,123.7780624,41.32583763
巴彦淖尔,107.4238067,40.7691799
白银,104.2056493,36.50182183
巴中,106.7579158,31.86918916
滨州,117.9682924,37.40531394
亳州,115.7879282,33.87121057
昌都,96.36244047,30.5109248
常德,111.6537181,29.01214886
赤峰,118.9307612,42.29711232
昌吉州,87.07361805,44.17508345
五家渠,87.56544898,44.36889948
常熟,120.831486,31.66944605
楚雄州,101.328638,24.88025247
朝阳,116.5216949,39.95895317
长治,113.1202921,36.20166439
潮州,116.630076,23.66181168
郴州,113.0377045,25.78226398
池州,117.4944768,30.66001925
崇左,107.357322,22.4154553
滁州,118.3245704,32.3173506
丹东,124.3385431,40.12902283
德宏州,98.58943429,24.44123966
大理州,100.219209,25.69396662
大庆,125.0218397,46.59670902
大同,124.6990774,46.070051
定西,104.6266376,35.58605624
大兴安岭,124.1961042,51.99178897
德阳,104.4023978,31.13113965
东营,118.6126431,37.40866629
黔南州,107.5232051,26.264536
达州,107.4949734,31.21419886
德州,116.3281614,37.46082593
鄂尔多斯,109.9937063,39.81648956
恩施州,109.5174327,30.30897851
鄂州,114.895594,30.38443932
防城港,108.3517912,21.61739847
抚顺,123.9298198,41.87730383
阜新,121.6608221,42.01925011
阜阳,115.8209323,32.90121133
富阳,119.8109661,29.97780842
抚州,116.3609189,27.95454517
广安,106.758912,30.59924999
贵港,109.6137076,23.10337316
桂林,110.2609201,25.26290125
果洛州,100.2237228,34.48048458
甘南州,102.9174425,34.99221118
固原,106.285268,36.02152348
广元,105.8196869,32.44104016
甘孜州,101.9692321,30.05514411
赣州,114.9359091,25.84529554
海北州,100.8798022,36.9606541
鹤壁,114.2977698,35.75542587
淮北,116.7914474,33.96002331
河池,108.0699477,24.69952078
海东地区,102.085207,36.51761017
鹤岗,130.2924721,47.3386659
黄冈,114.906618,30.44610894
黑河,127.5008303,50.25069009
红河州,103.3840648,23.36771752
怀化,109.9869588,27.5574829
呼伦贝尔,119.7608218,49.20163605
葫芦岛,120.8607576,40.74302988
哈密地区,93.52835509,42.85859633
海门,121.3124701,31.95603887
海南州,106.9253972,39.29620948
淮南,117.0186389,32.64281182
黄南州,102.0218323,35.52250314
黄山,118.0775461,30.2777459
黄石,115.0506832,30.21612713
和田地区,79.93023864,37.11677449
海西州,97.34262542,37.37379907
河源,114.7137215,23.75725085
衡阳,112.5838188,26.89816442
汉中,107.0454776,33.08156898
菏泽,115.4633598,35.2624405
贺州,111.5525942,24.41105355
吉安,114.9920387,27.11384765
金昌,102.2081263,38.5160718
晋城,112.8673328,35.49983447
景德镇,117.1865226,29.30356277
