city,AQI,PM2.5,PM10,CO,NO2,SO2,O3
北京,185,139,190,1,74,6,39
天津,82,60,100,0.6,24,10,83
上海,32,16,32,0.6,25,4,80
重庆,42,29,41,0.8,21,5,79
广州,67,48,78,0.6,29,6,94
深圳,53,24,55,0.5,19,6,84
杭州,53,32,56,0.4,30,8,74
成都,99,74,113,0.8,54,18,11
全国空气质量排名,200,150,210,1.5,81,13,22
石家庄,83,61,112,0.9,40,13,75
唐山,78,57,90,1,37,14,43
秦皇岛,163,124,136,0.8,34,19,47
保定,98,73,101,0.9,29,12,68
张家口,0,0,0,0.5,19,0,0
邯郸,98,73,105,1.2,34,14,50
邢台,95,71,139,1.1,57,12,27
承德,93,56,136,0.8,23,16,90
沧州,0,0,0,0,30,0,67
廊坊,84,51,117,0.4,17,8,80
衡水,185,139,202,1.3,73,14,32
太原,0,0,0,0,0,0,0
大同,193,145,214,1.7,62,26,23
阳泉,125,95,137,0.9,31,10,78
长治,155,118,153,0.7,40,4,38
临汾,94,70,105,0.8,40,11,67
晋城,160,122,163,1,51,22,55
朔州,102,76,109,0.6,13,10,90
运城,203,153,205,1.5,44,17,28
忻州,101,73,152,0.9,54,12,37
吕梁,159,121,0,0.8,38,11,38
晋中,135,103,0,0.8,28,14,56
呼和浩特,0,75,88,0,25,18,62
包头,113,85,117,0.9,35,11,61
鄂尔多斯,95,70,140,1.2,23,19,78
乌海,147,112,157,1,25,14,96
赤峰,145,111,204,1,38,27,82
通辽,129,98,182,1.2,36,7,48
巴彦淖尔,51,35,51,0.7,15,10,79
兴安盟,88,65,113,0.8,19,14,78
阿拉善盟,0,21,38,0,12,5,72
二连浩特,74,54,95,0.6,11,10,85
锡林郭勒,0,0,0,0,0,0,0
沈阳,0,38,63,0.6,0,11,64
大连,77,56,77,0.8,14,19,81
丹东,62,44,72,1,34,14,77
营口,87,44,124,0.8,30,12,68
盘锦,89,66,90,1,25,12,49
葫芦岛,79,58,95,0.9,20,13,110
鞍山,102,76,99,1,38,34,59
锦州,0,57,108,0.8,16,0,0
瓦房店,93,69,127,1,28,17,92
抚顺,69,50,80,0.8,19,13,92
辽阳,159,80,267,1.1,34,24,76
阜新,140,107,190,1.4,22,14,92
朝阳,141,70,232,0.7,27,15,99
铁岭,225,58,367,0.8,29,10,92
长春,72,52,81,0.8,14,10,112
