time,aqi,pm2_5,pm10,so2,co,no2,o3,cityname
2016/5/4,265,215,311,39,1.9,118,46,成都
2016/5/5,269,219,334,38,2.6,106,66,成都
2016/5/6,285,235,343,51,2.5,97,40,成都
2016/5/7,205,155,226,38,1.8,69,62,成都
2016/5/8,216,166,266,44,2.4,88,66,成都
2016/5/9,248,198,302,48,2,83,56,成都
2016/5/10,209,159,237,43,1.6,65,39,成都
2016/5/11,151,115,183,33,1.6,74,50,成都
2016/5/12,105,79,155,35,1.3,85,36,成都
2016/5/13,134,102,181,30,1.5,81,71,成都
2016/5/14,126,96,164,40,1.3,70,41,成都
2016/5/15,166,126,210,34,1.5,75,78,成都
2016/5/16,159,121,182,26,1.3,75,41,成都
2016/5/17,72,53,90,18,1,57,36,成都
2016/5/18,114,86,146,29,1.5,63,67,成都
2016/5/19,160,122,193,46,1.8,86,50,成都
2016/5/20,154,118,175,33,1.6,80,37,成都
2016/5/21,142,109,156,17,1.1,55,23,成都
2016/5/22,138,105,154,20,1,57,30,成都
2016/5/23,112,85,127,23,1,59,46,成都
2016/5/24,137,105,150,21,1.2,55,29,成都
2016/5/25,163,124,186,31,1.4,65,44,成都
2016/5/26,212,162,259,34,1.7,80,27,成都
2016/5/27,226,176,248,38,1.6,72,20,成都
2016/5/28,141,108,166,28,1.4,62,54,成都
2016/5/29,141,108,181,27,1.5,70,47,成都
2016/5/30,160,122,185,24,1.6,85,38,成都
2016/5/31,187,141,213,29,1.5,77,44,成都
2016/6/1,212,162,246,22,1.8,87,46,成都
2016/6/2,253,203,313,21,2.2,81,35,成都
2016/6/3,227,177,244,18,1.5,73,20,成都
2016/6/4,229,179,270,28,1.8,76,31,成都
2016/6/5,200,150,229,30,1.9,81,50,成都
2016/6/6,192,144,234,32,2,99,54,成都
2016/6/7,253,203,296,59,1.8,108,42,成都
2016/6/8,205,155,226,40,1.5,77,36,成都
2016/6/9,99,74,98,19,1.1,64,44,成都
2016/6/10,78,58,98,20,0.9,59,55,成都
2016/6/11,121,92,154,26,1,59,55,成都
2016/6/12,135,103,135,31,1,51,39,成都
2016/6/13,119,90,127,25,1.2,61,40,成都
2016/6/14,106,80,130,26,1.1,64,59,成都
2016/6/15,110,83,132,24,1,70,66,成都
2016/6/16,215,165,257,52,1.7,88,43,成都
2016/6/17,235,185,268,38,1.7,78,21,成都
2016/6/18,255,205,304,39,1.8,85,54,成都
2016/6/19,269,219,308,37,1.8,92,36,成都
2016/6/20,305,255,344,42,2.1,73,29,成都
2016/6/21,148,114,157,30,1.3,54,61,成都
2016/6/22,74,54,98,17,1,57,61,成都
2016/6/23,157,120,199,39,1.4,71,38,成都
2016/6/24,248,198,303,39,1.7,99,75,成都
2016/6/25,293,243,355,52,1.9,106,68,成都
2016/6/26,273,223,323,46,1.9,99,71,成都
2016/6/27,242,192,286,37,1.8,96,46,成都
2016/6/28,262,212,282,37,1.8,79,89,成都
2016/6/29,347,297,379,24,1.9,61,61,成都
2016/6/30,357,307,401,25,2.1,61,62,成都
2016/7/1,333,283,352,16,1.8,47,58,成都
2016/7/2,345,295,377,11,1.8,48,38,成都
2016/7/3,462,396,562,19,1.9,42,39,成都
2016/7/4,211,161,207,14,1.6,44,73,成都
2016/7/5,193,145,177,14,1.4,34,78,成都
2016/7/6,203,153,188,14,1.3,41,66,成都
2016/7/7,207,157,194,16,1.3,33,55,成都
2016/7/8,93,69,94,13,1.4,22,44,成都
2016/7/9,43,26,43,10,1.4,20,33,成都
2016/7/10,99,74,97,26,1.2,41,44,成都
2016/7/11,100,75,107,25,1.2,36,42,成都
2016/7/12,70,51,71,11,1,24,59,成都
2016/7/13,109,82,104,15,1.4,32,57,成都
2016/7/14,130,99,121,16,1.5,45,51,成都
2016/7/15,132,100,121,17,1.5,40,56,成都
2016/7/16,169,128,159,16,1.7,51,75,成都
2016/7/17,150,115,150,29,1.4,56,67,成都
2016/7/18,181,136,175,36,1.3,57,66,成都
2016/7/19,203,153,202,26,1.7,68,42,成都
2016/7/20,147,113,142,29,1.3,43,42,成都
2016/7/21,115,87,107,19,1.5,54,68,成都
2016/7/22,137,105,138,27,1.4,58,65,成都
2016/7/23,226,176,252,45,1.9,73,38,成都
2016/7/24,212,162,223,50,1.8,89,41,成都
2016/7/25,231,181,259,40,1.9,75,70,成都
2016/7/26,234,184,252,50,1.9,75,68,成都
2016/7/27,200,150,200,32,1.5,65,70,成都
2016/7/28,140,107,153,27,1.2,60,44,成都
2016/7/29,103,77,112,39,1.2,51,30,成都
2016/7/30,55,34,60,18,0.9,45,43,成都
2016/7/31,70,50,90,19,1,45,30,成都
2016/8/1,70,49,90,21,1,55,45,成都
2016/8/2,73,54,95,15,1.1,52,49,成都
2016/8/3,66,48,71,16,1.1,44,31,成都
2016/8/4,61,43,72,16,1.2,46,80,成都
2016/8/5,87,64,100,22,1.3,66,56,成都
2016/8/6,63,45,67,20,1.4,51,37,成都
2016/8/7,76,56,83,16,1.4,52,22,成都
2016/8/8,40,27,40,10,1.1,44,78,成都
2016/8/9,95,71,113,19,1.4,67,52,成都
2016/8/10,130,99,158,34,1.6,70,44,成都
2016/8/11,136,104,160,40,1.5,73,88,成都
2016/8/12,111,84,171,28,1.1,70,67,成都
2016/8/13,115,73,179,23,0.9,61,82,成都
2016/8/14,73,42,96,11,0.7,40,100,成都
2016/8/15,100,75,129,26,1.1,70,104,成都
2016/8/16,180,136,222,33,1.5,86,154,成都
2016/8/17,173,131,199,46,1.4,77,125,成都
2016/8/18,162,123,190,29,1.5,96,112,成都
2016/8/19,165,126,216,55,1.5,76,121,成都
2016/8/20,80,42,110,13,0.9,48,88,成都
2016/8/21,67,37,85,13,0.7,42,63,成都
2016/8/22,63,45,73,11,0.9,48,41,成都
2016/8/23,85,63,86,12,1.1,56,44,成都
2016/8/24,114,86,121,28,1.1,65,55,成都
2016/8/25,161,123,189,26,1.5,76,91,成都
2016/8/26,211,161,224,29,1.8,85,86,成都
2016/8/27,211,161,238,35,1.9,101,98,成都
2016/8/28,204,154,228,30,1.8,89,143,成都
2016/8/29,208,158,251,36,2.2,103,86,成都
2016/8/30,113,86,135,20,1.5,46,79,成都
2016/8/31,49,28,49,12,1,40,70,成都
2016/9/1,54,34,58,12,0.8,45,91,成都
2016/9/2,70,51,87,13,0.9,55,121,成都
2016/9/3,104,78,133,21,1.3,77,68,成都
2016/9/4,72,52,79,14,0.9,50,82,成都
2016/9/5,71,52,75,12,1.2,60,57,成都
2016/9/6,87,65,94,10,1.2,47,123,成都
2016/9/7,107,81,112,14,1.2,59,86,成都
2016/9/8,160,122,195,29,2.1,89,88,成都
2016/9/9,146,112,174,25,2,76,132,成都
2016/9/10,123,94,129,25,1.4,51,90,成都
2016/9/11,60,36,56,11,1,36,112,成都
2016/9/12,114,41,74,13,1,58,175,成都
2016/9/13,105,64,112,20,1.2,65,165,成都
2016/9/14,89,66,98,28,1.2,43,111,成都
2016/9/15,75,55,84,24,1.1,35,78,成都
2016/9/16,88,59,92,26,1.1,51,146,成都
2016/9/17,82,60,97,16,1.2,53,101,成都
2016/9/18,68,39,58,13,0.9,34,121,成都
2016/9/19,93,17,34,8,0.6,33,151,成都
2016/9/20,60,43,67,11,0.9,45,97,成都
2016/9/21,43,26,43,15,1,36,74,成都
2016/9/22,81,33,56,18,0.8,41,137,成都
2016/9/23,97,73,113,15,1,70,105,成都
2016/9/24,118,90,123,11,1.1,55,140,成都
2016/9/25,80,57,111,12,0.7,39,83,成都
2016/9/26,122,81,194,13,0.6,46,115,成都
2016/9/27,102,59,154,21,0.6,52,96,成都
2016/9/28,93,65,136,20,0.7,47,101,成都
2016/9/29,61,39,73,8,0.6,30,110,成都
2016/9/30,88,53,94,12,0.8,52,146,成都
2016/10/1,109,82,153,25,1.1,66,129,成都
2016/10/2,85,47,119,14,0.6,45,83,成都
2016/10/3,95,65,139,13,0.7,53,49,成都
2016/10/4,73,42,96,12,0.6,44,97,成都
2016/10/5,79,31,73,10,0.5,29,135,成都
2016/10/6,101,61,112,18,0.8,54,161,成都
2016/10/7,180,136,208,19,1.2,80,203,成都
2016/10/8,185,140,208,22,1.4,90,120,成都
2016/10/9,152,117,156,19,1,61,103,成都
2016/10/10,61,39,62,9,0.8,41,113,成都
2016/10/11,77,41,74,6,0.7,43,132,成都
2016/10/12,113,85,150,25,0.9,54,162,成都
2016/10/13,131,99,147,23,1,58,126,成都
2016/10/14,118,90,132,9,1.1,70,91,成都
2016/10/15,60,31,70,13,0.6,47,101,成都
2016/10/16,92,67,121,14,0.7,51,150,成都
2016/10/17,143,109,172,20,0.9,47,189,成都
2016/10/18,143,110,146,11,0.8,33,176,成都
2016/10/19,100,71,113,9,0.8,37,160,成都
2016/10/20,97,73,144,16,0.8,60,123,成都
2016/10/21,108,81,121,7,0.8,44,153,成都
2016/10/22,98,74,113,14,0.9,59,117,成都
2016/10/23,78,57,89,7,0.8,42,87,成都
2016/10/24,76,41,69,10,0.9,53,131,成都
2016/10/25,86,59,122,9,0.4,35,76,成都
2016/10/26,89,56,128,14,0.5,40,141,成都
2016/10/27,124,90,198,24,0.7,57,112,成都
2016/10/28,132,99,203,16,0.9,62,195,成都
2016/10/29,105,79,126,12,0.8,55,151,成都
2016/10/30,148,85,151,20,0.9,60,213,成都
2016/10/31,184,93,135,11,0.8,36,249,成都
