city,AQI,PM2.5,PM10,CO,NO2,SO2,O3
北京,55,15,59,0.2,4,3,75
天津,70,16,89,0.2,9,6,81
上海,52,36,53,0.5,28,4,89
重庆,22,8,22,0.1,6,8,58
广州,32,16,32,0.8,11,3,72
深圳,18,8,15,0.6,4,3,55
杭州,64,37,78,0.8,49,9,48
成都,52,32,54,0.5,20,4,40
全国空气质量排名,69,21,87,0,4,3,77
石家庄,55,12,59,0.3,5,1,85
唐山,74,20,98,0.2,10,1,83
秦皇岛,59,19,68,0.1,2,1,84
保定,31,19,31,0.3,2,2,83
张家口,103,59,156,0.3,21,4,57
邯郸,98,22,145,0.2,11,4,66
邢台,0,0,0,0.2,2,8,89
承德,67,27,83,0,14,6,82
沧州,61,14,72,0.2,13,1,82
廊坊,118,12,185,0.1,8,1,63
衡水,75,24,100,0.3,11,7,83
太原,60,10,69,0.6,3,6,78
大同,81,18,112,0.5,25,13,63
阳泉,63,17,75,0.6,9,10,78
长治,71,27,91,0.3,20,6,58
临汾,64,14,78,0.4,21,5,62
晋城,0,0,97,0.3,13,4,66
朔州,58,41,0,0.6,7,5,56
运城,0,14,56,0.1,0,5,85
忻州,74,21,97,0.4,36,11,26
吕梁,91,18,132,0.1,12,8,87
晋中,31,7,31,0.3,5,6,76
呼和浩特,39,6,39,0.4,4,9,80
包头,46,9,46,0.4,12,6,72
鄂尔多斯,56,11,62,0.5,13,17,72
乌海,46,9,46,0.4,18,10,83
赤峰,100,38,149,0.3,8,4,86
通辽,55,9,60,0.4,5,7,77
巴彦淖尔,0,0,0,0.2,10,11,82
兴安盟,38,18,38,0.5,8,8,83
阿拉善盟,36,15,36,0.3,8,5,79
二连浩特,26,7,11,0.2,4,5,82
锡林郭勒,0,0,0,0,0,0,0
沈阳,141,53,232,0,10,5,78
大连,105,34,159,0.3,7,8,75
丹东,120,43,190,0.4,8,5,77
营口,115,41,179,0.4,8,7,81
盘锦,158,42,265,0.3,11,11,87
葫芦岛,156,61,261,0.2,4,8,69
鞍山,112,56,173,0.3,4,6,92
锦州,172,62,294,0.4,10,5,63
瓦房店,174,68,298,0.3,6,5,85
抚顺,159,56,268,0.4,7,10,59
辽阳,88,26,126,0.5,11,6,92
阜新,57,6,63,0.5,7,8,90
朝阳,142,104,234,0.4,5,5,76
铁岭,304,68,423,0.3,13,6,62
长春,0,0,0,0.5,8,3,62
吉林,149,49,248,0.3,10,7,69
四平,131,62,211,0,6,8,72
辽源,89,38,127,0.3,8,7,68
白山,55,26,60,0.2,5,5,80
松原,29,8,27,0,8,7,91
延边,0,0,0,0.2,5,0,69
通化,114,52,177,0.3,6,6,64
哈尔滨,68,49,0,0.3,6,3,86
齐齐哈尔,273,86,401,0.3,7,4,56
鸡西,22,11,17,0.2,5,11,69
鹤岗,189,134,328,0.1,5,5,66
双鸭山,54,14,57,0.3,6,4,77
